Date,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
1980-01-31,12.786511690092015,12.537462500069301,12.20384516838776,11.660699850964853,10.949339656428721,10.56878050239606,10.312286904760953,10.324570941392286,10.439467444618758,10.608806166909382,10.621041647176511
1980-02-29,13.085521883103775,13.165367761861843,13.21012587095305,13.128388578078713,12.71382965826392,12.317720031067822,11.892790629329287,11.796808982023213,11.858733691648855,12.115372935808102,12.222495396913923
1980-03-31,16.119319799731777,15.94817431631958,15.680989046305099,15.13714283168957,14.136438559440128,13.345758149054708,12.38381720151372,11.992630230543094,11.927161658030107,12.619027487003878,13.152594693674356
1980-04-30,14.88693650465708,14.396932898890679,13.786158787989208,12.887114348002175,11.844053485364928,11.320966297481224,10.941129603437394,10.905971808238439,11.012477551884992,11.315942767276203,11.439858374436918
1980-05-31,9.186413326812302,9.207773148948647,9.222980236487603,9.22083311069824,9.201192215435219,9.23677531229793,9.456210463226508,9.733242677378744,10.082945770734037,10.636656967047653,10.834151512695923
1980-06-30,7.475963899023624,7.629094622150751,7.8300651580530545,8.147925295740103,8.555270071523053,8.790090504795675,9.05712353147015,9.25871316193055,9.582862833132234,10.769984690107265,11.6878420756655
1980-07-31,8.166752204165299,8.253346735618548,8.373974226228361,8.585214219489325,8.909975359675236,9.139587692214583,9.436058712219248,9.646200325750858,9.97883247396348,11.852459521797636,14.165038780612372
1980-08-31,9.220347489041293,9.407619208325308,9.639917704396677,9.969152904174445,10.295236809605754,10.411629092572477,10.486186584366644,10.57332755680915,10.791399624413785,11.641554348122654,12.221965015619421
1980-09-30,10.587193894439443,10.730881644430697,10.903570634611928,11.128140718830329,11.278480546746538,11.24766950662161,11.102990940671045,11.057816512881358,11.173660646160158,11.848411112941696,12.278272812644072
1980-10-31,12.004181245929471,12.025969501384832,12.011727926494434,11.915976026120497,11.698630908177854,11.532931779276328,11.357615538355459,11.327010219401938,11.41359364079588,11.826935574058211,12.055719429632658
1980-11-30,14.944072773061736,14.432060805463415,13.967185093608096,13.430767424597345,12.845762254158034,12.547730203781523,12.281487737674388,12.166610136672013,12.080983832586144,11.981185693772261,11.947918422409558
1980-12-31,20.358407157300856,17.06266218897426,15.522893288828932,14.204554528767579,13.267260158706167,12.866579270157281,12.461483317090364,12.26765252655439,12.119610446320014,11.946472281995568,11.88875555415521
1981-01-31,17.374284552598954,16.029612385287123,14.704370274592439,13.35659711528676,12.493080488003304,12.244943513950627,12.065170192503523,11.982866717704674,11.916981747107435,11.838112477195693,11.811766652344263
1981-02-28,14.041545007160844,15.34881590073608,14.841377262051404,13.714329435041128,13.021554426989052,12.810671646377749,12.652483116637576,12.58619903034229,12.536570967208208,12.478675755755393,12.459377357992029
1981-03-31,14.280014095665427,14.016058733472569,13.512277508274963,13.080184903688302,12.84541983509155,12.7671894998124,12.704607758174188,12.6777870159668,12.6576714593113,12.634203309879881,12.626380593402741
1981-04-30,14.130926885948124,14.316138150467308,13.932393701947726,13.57027471670886,13.39789721580648,13.334356926478883,13.215438331302112,13.121007505847187,13.035023088519814,12.929836171872001,12.89468625700341
1981-05-31,18.985415091400903,17.371812490942936,16.183215698114054,15.331748503876488,14.602873678060126,14.123894097760209,13.634257952229541,13.413485098235554,13.247498373574128,13.053831710139596,12.989276137322793
1981-06-30,16.861762769697737,15.730081591380763,14.82480834939634,14.169006291578143,13.717972902943494,13.384072932573913,12.985813069414064,12.795945590670765,12.652440468952802,12.484957190056496,12.429129313816865
1981-07-31,16.695008664675925,16.10117923605263,15.532486769987662,14.963579275333968,14.482777105500785,14.18124785458682,13.773853186380627,13.533972823962541,13.33374816739201,13.092722226817482,13.012208457386977
1981-08-31,16.78301634842503,16.50267934932925,16.214595259823415,15.841997732366067,15.334242426403923,14.945503042001613,14.41682895567607,14.113962078534913,13.86701566499103,13.571992151639463,13.47319557253709
1981-09-30,15.258204566571532,15.49348731236805,15.703425718685466,15.814123822277272,15.57546645834129,15.255258556451597,14.81272725683253,14.580138807111785,14.405938638147916,14.212161133728173,14.148408588452888
1981-10-31,13.909973838049785,14.23278930269891,14.509731145790917,14.744790185380944,14.796704567078915,14.695186737355172,14.488146939761721,14.388621265933672,14.37107034504484,14.520383630400485,14.620930924160408
1981-11-30,11.683456195912186,11.80894923894755,11.966982920864703,12.200392752240697,12.46372084691369,12.587552620145901,12.682590990747864,12.735651488708852,12.860331172012431,13.587414830959567,14.235728159977839
1981-12-31,11.166368573750624,11.540635557556762,11.968018011448713,12.500387248529222,12.93204957240589,13.052005104750133,13.087784128859822,13.102261376708718,13.153157176472194,13.311046004261799,13.382213304777258
1982-01-31,12.616862504327454,12.97871066090087,13.376599055647242,13.820939079708655,14.047262378510386,14.01664785665469,13.94498776951566,13.956939912717797,14.010968511733495,14.107504321720407,14.141227732078127
1982-02-28,14.219570264792004,14.23251565715281,14.238848541722108,14.21783737256375,14.11006618546317,13.986916797857804,13.813091447157497,13.751184915659115,13.785549222932273,14.119755916944671,14.351125358407058
1982-03-31,13.29929480847911,13.350721111156611,13.411262619331966,13.484820036916593,13.510873008125897,13.459711155527728,13.315442096864254,13.212991387293659,13.152815566736194,13.210053666235478,13.27272087036747
1982-04-30,13.39758899387254,13.464262384310862,13.538988856872214,13.619362330502563,13.61885948626028,13.529477754737105,13.323213990668375,13.17267828076449,13.041404055483131,12.89250612108151,12.845510235966541
1982-05-31,12.480095363693898,12.655388046103695,12.85222157711637,13.081363255862225,13.20769077671332,13.178650672374678,13.060820195039138,12.976319463173587,12.905001670064774,12.820504474461847,12.792387670751676
1982-06-30,12.839948870900663,13.07182615540948,13.330614785356271,13.630788749390126,13.807100482903605,13.793576174090994,13.691283913489904,13.615392348242947,13.549783257551741,13.47015145210154,13.443526020394872
1982-07-31,11.656465225560668,12.172003820801885,12.622880590453004,13.051350384950194,13.341473245659932,13.401874432295777,13.36437735575926,13.305661943206381,13.245277466663053,13.166871778373329,13.140432617335177
1982-08-31,7.819039078662271,9.188922367377069,10.38029944432981,11.43510081682801,12.066231739467394,12.260492022932802,12.40147569988609,12.459367253311706,12.502553022670945,12.552912897684097,12.56969941224829
1982-09-30,6.909650151702731,8.451963029832287,9.745333287013892,10.936317515854697,11.593770271138927,11.737133748727778,11.812751740313042,11.840399804887792,11.860883086602762,11.884766389943902,11.892727464080227
1982-10-31,4.784973757644584,8.137830722496663,8.820028210529497,9.502754670486482,10.208438966204533,10.48402047550304,10.714250887384212,10.814150041495186,10.889136014932577,10.976622158393969,11.005784208677326
1982-11-30,8.138162137852131,8.38727288953193,8.702169548594483,9.185943776696476,9.771681620835972,10.075981453234808,10.352511570818805,10.469202796977049,10.55076352013349,10.639434163114855,10.668505160701654
1982-12-31,8.137156800779813,8.307671686644026,8.544880577226936,8.95838843950599,9.581516652979099,9.995635373635103,10.419315713774852,10.549610763359176,10.567228985056982,11.224022569734595,12.911965453983983
1983-01-31,7.953652299251071,8.102624361637238,8.312540299276522,8.687174385844461,9.280288695101513,9.705970354039412,10.210007883234093,10.4378806315265,10.57401560532235,11.36104719391208,13.121204825165153
1983-02-28,8.223416669638684,8.3758494488108,8.589685679137125,8.96819454255001,9.557215120961674,9.96917644867926,10.437234092490117,10.636971895553694,10.764766648097645,11.731029055029726,13.665893013395927
1983-03-31,8.325245328259063,8.453703920874029,8.634275013026587,8.955090709980295,9.458194043059944,9.814147966445562,10.226427704214794,10.408607755540798,10.528879398319814,11.401928826833867,13.221096227156991
1983-04-30,8.374699583407848,8.48738130824567,8.646663705632289,8.93255492212153,9.390351802022497,9.724143826366163,10.128129714692122,10.315067075989163,10.42197829078434,11.007269648673722,12.507804281430568
1983-05-31,8.20068661479497,8.317738540703411,8.483694764399031,8.783224294679714,9.268563012180332,9.628880991003532,10.078457961470406,10.29722964384517,10.424021323458268,10.913164549811519,12.267967941474938
1983-06-30,8.923709359304052,9.037984028664631,9.198605640461109,9.483853055838734,9.930145354630072,10.243630584307704,10.59719001728399,10.737513346415055,10.801690904099637,11.460703905585829,13.104933528071998
1983-07-31,9.149693351158147,9.321828382447432,9.553182165447561,9.934149155094225,10.456496187026016,10.773570990158467,11.09470006099427,11.231432433701396,11.326158139458553,11.574860040465751,11.905402224401673
