,F1,F2,F3
1986-02-28,1.5555147787868997,-3.459523276429504,2.2863590017312636
1986-03-31,1.0140830134954233,-3.237897458919286,2.2124665426195746
1986-04-30,1.14835140772662,-1.4653797898676448,2.0537965557406808
1986-05-31,1.5298947420831233,-0.7626994591593574,2.4823566563502384
1986-06-30,1.6433194694982904,-1.7211206806419588,2.618096055206171
1986-07-31,1.4363214297962843,-1.323817518319241,2.269170098930092
1986-08-31,1.5286079394754066,-0.5554769568385178,2.4026846509373803
1986-09-30,1.4249593788084325,-0.4187406719704413,2.8054993747913053
1986-10-31,1.4435055478259877,-0.18711840799551732,2.7242292643864867
1986-11-30,1.2004971275709182,-0.6296959720986801,2.4202841199024947
1986-12-31,1.3945673173158348,0.4371495399868218,2.071492848045497
1987-01-31,1.8746161689673728,-0.5632977766238827,2.3069449261237693
1987-02-28,2.2059272581684213,0.5636722554735278,1.715134164651105
1987-03-31,2.12597678294654,-0.2403472134961151,2.1565062649576214
1987-04-30,2.902497106519075,0.026165031093622587,2.99122579171206
1987-05-31,2.6790574157754024,0.016099578039520127,2.7380325239936987
1987-06-30,2.2872036362962103,-0.026184751757118825,2.357809215963401
1987-07-31,2.434930762264294,0.21104302522643278,2.3875595202824247
1987-08-31,2.7264115371041613,-0.06336301013341561,2.4793336250040334
1987-09-30,2.950365905637153,-0.018544417510213424,2.7759043406759214
1987-10-31,3.23464162797013,0.36654856874624725,3.422138737529524
1987-11-30,2.0153932055795583,-0.24122405208705386,2.41483473934466
1987-12-31,1.7578841839355392,-1.4370338064376793,2.3645723071948406
1988-01-31,2.5249633100220015,-1.0633405208959776,2.7832281027944803
1988-02-29,2.070083292855151,0.5787944648844264,1.589928134563857
1988-03-31,2.4290742094903135,-0.021879242978301402,2.305297988801912
1988-04-30,3.25399181567612,0.5407642262593949,2.887671728395646
1988-05-31,2.5258452177970283,-0.9108827016514557,2.401748797240702
1988-06-30,3.2853652403762506,-0.07855830837717738,2.4612304880375
1988-07-31,3.3396450334682015,-0.770758484440013,2.364374572232966
1988-08-31,3.3631632217920684,-0.2512895361892141,2.011941073402197
1988-09-30,4.221182742752972,-0.4330686075412189,2.3329557542715054
1988-10-31,4.0334642683904995,-0.2612863363871641,1.9337716739512203
1988-11-30,3.689571726332876,-0.8058426985023798,1.6885182435930934
1988-12-31,4.163114777923667,-0.3163176041818912,1.7826583752725804
1989-01-31,5.128983023163869,0.1696582939375629,2.005446609021103
1989-02-28,4.41182635267481,-2.086505729983177,1.265537273964292
1989-03-31,4.933913676964151,-1.5421546030284068,1.6934486512572478
1989-04-30,5.059077897994953,-0.2878398962474983,1.8176801962138698
1989-05-31,4.630919730844254,-1.6168245557406165,1.5357961718161994
1989-06-30,4.096799016096409,-1.7467825115005446,1.376233167962341
1989-07-31,3.5269878758281363,-2.5647917147980994,1.4219013951757447
1989-08-31,3.3584951203963453,-1.7004301663278913,0.8346508251575714
1989-09-30,3.864188981835083,-1.5757765124701166,1.3985577861521625
1989-10-31,4.378013754214217,-0.8892978211482466,1.7131944278815974
1989-11-30,3.623671116179373,-1.2226579587050943,1.3997244378208118
1989-12-31,3.4469428880340223,-1.1994067887210758,1.350850522884055
1990-01-31,4.540740659751101,1.2669807719690784,1.4874223218194995
1990-02-28,4.485991528045256,-1.2024594683420178,1.8217917323869615
1990-03-31,4.504385748007366,-1.1622022115673287,1.989513419383482
1990-04-30,3.2573593945054244,-2.430461193094071,1.4866849395916282
1990-05-31,3.540593946708813,-1.138871857450311,1.3273969608472445
1990-06-30,4.087945216678801,-0.9192250021386236,1.8148860074403619
1990-07-31,3.514086852565808,-0.9150687338224923,1.673534627519309
1990-08-31,4.3648175013817285,1.3401817483653427,2.875961466034016
1990-09-30,3.384322762921397,0.11720293947066816,2.627041635751189
1990-10-31,2.954529284699351,-0.4896548382988493,2.569479710185522
1990-11-30,1.5909288183813466,-2.0388287279034203,1.8742621646972897
1990-12-31,1.6772599457081003,-2.6351763813658904,2.1735273597291367
1991-01-31,2.4633704369911213,-1.0399218529618797,2.915354389574421
1991-02-28,1.0399135645768809,-1.4395754881722418,1.8439388407537889
1991-03-31,0.6037539067521295,-1.7243290114551344,1.872836458928305
1991-04-30,1.0594686752197369,0.08902774185314699,1.9451177717396317
