date,level,slope,curvature,lambda,ns_fit_rmse
1985-01-31,11.96159678507675,-4.32987669676304,-5.845537977238239e-05,1.232864646380768,0.049321139404541726
1985-02-28,12.941236105872584,-4.527539917743193,-4.807030395962114e-06,2.517852426414481,0.2798986424194894
1985-03-31,12.334689836990888,-3.548543009478145,-8.254914322220603e-06,1.3480486819153452,0.06503464577326432
1985-04-30,11.974779431478245,-4.031469525925008,-4.586926682339831e-06,1.307951024100509,0.019249826547549188
1985-05-31,11.780388871526176,-4.394547285141284,-3.078034812033242e-05,1.7142297982247483,0.07104304807371448
1985-06-30,13.570412583802707,-6.407349784241237,-1.320511486955871e-05,5.208317722876443,0.3844340871551428
1985-07-31,13.649094331715467,-6.444246669619883,3.6521114767352006e-05,4.94403075973018,0.38532253993061594
1985-08-31,13.054120640094954,-5.832891396392456,-1.828995109914331e-05,3.8797108668696736,0.3212410107326607
1985-09-30,12.70788173755621,-5.539017102282227,0.00015501969109897002,3.3079017384730913,0.25779420181299195
1985-10-31,13.357878837086364,-6.0015553357162315,3.877090151293719e-05,4.852730315298877,0.293152747363283
1985-11-30,12.002307104992465,-4.724479791251428,-1.572196046975036e-05,4.150438479766864,0.17828620529752143
1985-12-31,10.703790436690122,-3.4915500704061366,-4.49695781114056e-06,3.562947621538609,0.03733734256860702
1986-01-31,10.660622809919664,-3.3425450480513703,1.3721865870950512e-05,3.9544575643193904,0.04612209700892847
1986-02-28,10.118688393648158,-2.822466819374492,-2.1440116738723192e-05,4.596437632821194,0.035343836927397156
1986-03-31,9.02288601770732,-2.1812482890785185,8.727761751645634e-06,5.469216201550004,0.03264241863165864
1986-04-30,8.006493964163187,-1.8190230782464107,-9.382275081910212e-07,2.5669790631327016,0.03808745310858988
1986-05-31,8.33165736064725,-2.3351755670240104,-2.409758761823922e-05,1.3239556720653458,0.0400275983967044
1986-06-30,8.622543683573237,-2.4953219824753563,4.55256420044223e-05,1.527342306914085,0.05623198136361381
1986-07-31,8.436961720525694,-2.6179461864637528,2.7992152290524035e-05,2.3212510329584934,0.05570104033910957
1986-08-31,8.527092598302044,-3.026741937840991,1.9320343348177226e-05,3.0564273396038346,0.03588507577420023
1986-09-30,9.05916974786885,-3.889694686222485,-5.167546803218223e-07,2.7983155774632547,0.062378467341767795
1986-10-31,9.121190834863537,-3.8652196122551854,1.9948570373913315e-05,3.3279572572548846,0.02436900545337888
1986-11-30,8.810235795934036,-3.4480570311383163,2.9322234067283325e-05,3.5409091178308674,0.015671618060010332
1986-12-31,8.81191280451678,-3.2230884754949085,-0.00025214710465568216,4.801046208606635,0.02192880934786438
1987-01-31,8.630809241572011,-3.0692314699442123,6.183576254265976e-05,4.518762693104347,0.018949682280945512
1987-02-28,8.709891201575994,-2.8982760179729277,-0.4856122556488493,4.157846772614633,0.012763460557108705
1987-03-31,8.550356155995301,-2.738160101278974,-4.5745154116537596e-05,4.617462913375758,0.020521420702264023
1987-04-30,8.860990377007628,-2.953922125004507,2.846603733941034e-06,2.231567981595513,0.0750026997647828
1987-05-31,9.021439786299329,-3.1914731167653883,6.896871049974471e-05,0.9865588298385556,0.100441853344159
1987-06-30,8.951968755133358,-2.9376261708879934,-1.9109191763116843e-06,1.3930515087340185,0.0854980846086514
1987-07-31,9.215785155407355,-3.2230780492852724,1.3863996867176641e-05,1.9113775847303556,0.04704660467954866
1987-08-31,9.469395823346991,-3.3095299171419934,-3.7831018630103154e-05,1.7991145971410354,0.05264335682024058
