,F1,F2,F3,F4
1986-02-28,1.5555147787868997,-3.459523276429504,2.2863590017312636,-1.4241605836280538
1986-03-31,1.0140830134954233,-3.237897458919286,2.2124665426195746,-2.3290705742996565
1986-04-30,1.14835140772662,-1.4653797898676448,2.0537965557406808,-2.535295723040926
1986-05-31,1.5298947420831233,-0.7626994591593574,2.4823566563502384,-1.3363720442778693
1986-06-30,1.6433194694982904,-1.7211206806419588,2.618096055206171,-0.7557210973613165
1986-07-31,1.4363214297962843,-1.323817518319241,2.269170098930092,-1.6891096303766846
1986-08-31,1.5286079394754066,-0.5554769568385178,2.4026846509373803,-0.8894676765802338
1986-09-30,1.4249593788084325,-0.4187406719704413,2.8054993747913053,-0.3886001916917757
1986-10-31,1.4435055478259877,-0.18711840799551732,2.7242292643864867,-0.6655931829155448
1986-11-30,1.2004971275709182,-0.6296959720986801,2.4202841199024947,-1.186822487315966
1986-12-31,1.3945673173158348,0.4371495399868218,2.071492848045497,-2.150019315247131
1987-01-31,1.8746161689673728,-0.5632977766238827,2.3069449261237693,0.2364635147594036
1987-02-28,2.2059272581684213,0.5636722554735278,1.715134164651105,-1.170854319051284
1987-03-31,2.12597678294654,-0.2403472134961151,2.1565062649576214,-0.3539619289381732
1987-04-30,2.902497106519075,0.026165031093622587,2.99122579171206,0.5824764787196377
1987-05-31,2.6790574157754024,0.016099578039520127,2.7380325239936987,-0.3930895216882196
1987-06-30,2.2872036362962103,-0.026184751757118825,2.357809215963401,-0.7134898361328833
1987-07-31,2.434930762264294,0.21104302522643278,2.3875595202824247,-0.9065842560405512
1987-08-31,2.7264115371041613,-0.06336301013341561,2.4793336250040334,-0.5827008854778617
1987-09-30,2.950365905637153,-0.018544417510213424,2.7759043406759214,-0.7095194572353497
1987-10-31,3.23464162797013,0.36654856874624725,3.422138737529524,-0.1804374561003128
1987-11-30,2.0153932055795583,-0.24122405208705386,2.41483473934466,-0.998555209706423
1987-12-31,1.7578841839355392,-1.4370338064376793,2.3645723071948406,-0.5449625872205817
1988-01-31,2.5249633100220015,-1.0633405208959776,2.7832281027944803,0.7727176865089362
1988-02-29,2.070083292855151,0.5787944648844264,1.589928134563857,-2.149361599826049
1988-03-31,2.4290742094903135,-0.021879242978301402,2.305297988801912,-0.5636921580754669
1988-04-30,3.25399181567612,0.5407642262593949,2.887671728395646,0.6540749723930883
