,K4F1,K4F2
1985-02-28,1.2829927789027535,0.30265072892991846
1985-03-31,1.0698911262066526,0.05253507256323982
1985-04-30,0.2989387594890041,-0.5813263193150805
1985-05-31,0.39455841610302794,-0.30314097761272724
1985-06-30,0.3481889415508744,-0.18741166096182185
1985-07-31,0.0926578138895015,-0.6888756280220438
1985-08-31,0.465450811284242,-0.20649841395812227
1985-09-30,0.4808547625263484,-0.18513037105008134
1985-10-31,0.6247769795423608,-0.3807949794432194
1985-11-30,1.0755141842008216,0.20449927536222512
1985-12-31,1.3291984960499128,0.6105327557831478
1986-01-31,1.0789263335778274,0.11275027369826064
1986-02-28,-0.6365931745955019,-1.4728403550618634
1986-03-31,-1.426994975289615,-1.993195117118952
1986-04-30,-0.8485011036170143,-1.0499402714498103
1986-05-31,0.33181991410041506,-0.008828587780523473
1986-06-30,0.32945607618456757,-0.2778699015119745
1986-07-31,0.15627258548934297,0.059862803381878
1986-08-31,-0.18462411285709024,-0.5182805812208159
1986-09-30,0.4043677508935289,0.2871835805176027
1986-10-31,0.10280990000942426,0.13416634074559974
1986-11-30,0.1658988894955915,0.06288365739915064
1986-12-31,0.9843265838602259,0.5368028007344624
1987-01-31,0.7772625136057385,-0.05795386456414841
1987-02-28,0.935433144774335,0.9089853596120883
1987-03-31,0.5334123392650362,0.05917164778991796
1987-04-30,1.0203144252226979,0.43539716789306027
1987-05-31,0.7756531512135865,0.09212356198431848
1987-06-30,1.0826336396939087,0.27168939994349284
1987-07-31,0.7980423342971673,0.11060338852088358
1987-08-31,1.2226620517943672,0.382468886941454
1987-09-30,1.0627647005710221,-0.10585619426206135
1987-10-31,1.1987252688075525,0.44805955624427274
1987-11-30,1.0127029646595156,0.00613483154961335
1987-12-31,0.7515702693636789,-0.2470240901327283
1988-01-31,0.8949261907426211,-0.40874920478971244
1988-02-29,0.6892937518419491,-0.2650084890199197
1988-03-31,0.766160845602888,-0.31646338546110725
1988-04-30,1.6994555812468675,0.33267152153258206
1988-05-31,0.7454761262314183,-0.7413128319038016
1988-06-30,1.396495455191883,-0.23459953441536066
1988-07-31,1.3475815354009912,-0.4698712077936487
1988-08-31,1.5024252473774118,-0.10515437085154994
1988-09-30,1.3189195504834967,-0.7737404846772686
1988-10-31,1.43664352034602,-0.3821619833807303
1988-11-30,1.4120053369018906,-0.5533650980335647
1988-12-31,1.569217948472147,-0.4596091437957691
1989-01-31,1.7144080009145044,-0.4718849883111273
1989-02-28,1.4111212370897999,-1.2212177600432514
1989-03-31,2.1350327178347785,-0.5877667381436614
1989-04-30,2.441549851584537,-0.3532335625579117
1989-05-31,1.7639652522345792,-1.1334128443383205
1989-06-30,1.5531254384331699,-0.9133953258094574
1989-07-31,1.1878577243659507,-1.5973514849711214
1989-08-31,1.1917819668609233,-0.6510593950893113
1989-09-30,1.180770716082173,-1.1913225592138277
1989-10-31,1.6665612349406866,-0.6677710698461794
1989-11-30,1.5798423838618578,-0.38564819197444367
1989-12-31,1.4760766644419505,-0.34458583907811563
1990-01-31,2.2756009282118677,-0.10726734850373482
1990-02-28,1.732344208661078,0.03181945922525245
1990-03-31,1.7788008944389946,-0.17684618032112764
1990-04-30,0.9917140598639177,-1.0343684447446302
1990-05-31,1.021648295184164,-0.7336642524053535
1990-06-30,2.015457733548862,-0.061172558700482174
1990-07-31,1.4060942300831276,-0.5780867386386657
1990-08-31,2.2495274405172543,0.44026080513688853
1990-09-30,1.7753326885616003,-0.00822866314501005
1990-10-31,1.5407106767023886,-0.43281367651548264
1990-11-30,0.26482543976749173,-1.5141363909703818
1990-12-31,0.6032735363251707,-0.7959595349893417
1991-01-31,0.6269649820277237,-0.4192691580751085
1991-02-28,-0.29631969316310947,-1.0362754654360926
1991-03-31,-0.4749745366152693,-0.9617558304343644
1991-04-30,0.23565117683991213,-0.006470400704729375
1991-05-31,0.6615301459112539,0.7784309147127776
1991-06-30,0.49693495138366844,0.5520549090110726
1991-07-31,0.04422476350414657,-0.07266215976445292
1991-08-31,0.16246644277226294,-0.0020183900435366982
1991-09-30,0.3924523397792586,0.598961785921617
1991-10-31,-0.267809740336129,-0.17991276505862405
1991-11-30,0.17277988074678594,0.24896413943807885
1991-12-31,-0.4025878284881003,-0.08498755953589296
1992-01-31,-0.9195197255850837,-0.3926002461972843
1992-02-29,-0.23923572670950413,0.7419697488401371
