date,US_SSR
1995-01-31,6.505078493607838
1995-02-28,6.2179743982087805
1995-03-31,5.949699105620959
1995-04-30,5.886854119023442
1995-05-31,5.757323127094353
1995-06-30,5.455066017657513
1995-07-31,5.493164236197637
1995-08-31,5.595342978619093
1995-09-30,5.422532861819287
1995-10-31,5.433441689665924
1995-11-30,5.3264772662409205
1995-12-31,5.1815235046851456
1996-01-31,4.989384284147072
1996-02-29,4.77729973198898
1996-03-31,5.167761405876631
1996-04-30,5.369832969413378
1996-05-31,5.441752074935439
1996-06-30,5.616078067870318
1996-07-31,5.623759737809646
1996-08-31,5.437361569190033
1996-09-30,5.621699074231022
1996-10-31,5.352323741605456
1996-11-30,5.2052866259502055
1996-12-31,5.292228368248664
1997-01-31,5.467878939562457
1997-02-28,5.317460338960688
1997-03-31,5.63185192046388
1997-04-30,5.839518410822075
1997-05-31,5.670449474849944
1997-06-30,5.511526064007118
1997-07-31,5.416766386182575
1997-08-31,5.534513488189282
1997-09-30,5.47251205596206
1997-10-31,5.405930748263533
1997-11-30,5.422443282506488
1997-12-31,5.511110489873029
1998-01-31,5.267709015816479
1998-02-28,5.261459162745604
1998-03-31,5.380352894428592
1998-04-30,5.36961657418532
1998-05-31,5.403926012922833
1998-06-30,5.365643209286479
1998-07-31,5.376887646191819
1998-08-31,5.237028928828539
1998-09-30,4.777597676905692
1998-10-31,4.165226024873067
1998-11-30,4.470575731316263
1998-12-31,4.424948506122575
1999-01-31,4.4393312295899765
1999-02-28,4.646777851525764
1999-03-31,4.781941336424878
1999-04-30,4.611659969320295
1999-05-31,4.840349548320643
1999-06-30,5.1558033547047994
1999-07-31,5.0680080638177465
1999-08-31,5.234097826485422
1999-09-30,5.22454304567265
1999-10-31,5.3695767128776
1999-11-30,5.439608475725275
1999-12-31,5.747354540187477
2000-01-31,6.021012858981988
2000-02-29,6.282733360088127
2000-03-31,6.370640943841264
2000-04-30,6.370946587319835
2000-05-31,6.7768862020023315
2000-06-30,6.499035539788834
2000-07-31,6.436521867005699
2000-08-31,6.437186874274031
2000-09-30,6.367973424866459
2000-10-31,6.246508669432824
2000-11-30,6.269483577902319
2000-12-31,5.7532891036931755
2001-01-31,5.082632532802693
2001-02-28,4.74523865724192
2001-03-31,4.309289128109445
2001-04-30,3.9360130995171847
2001-05-31,3.7096328949913744
2001-06-30,3.467881826190894
2001-07-31,3.408619371592461
2001-08-31,3.1299882003613093
2001-09-30,2.568434829521065
2001-10-31,1.8178400969208917
2001-11-30,1.6743085135258253
2001-12-31,1.759114809944486
2002-01-31,1.5846061793189368
2002-02-28,1.629599292282299
2002-03-31,1.988169670477069
2002-04-30,1.9114808063919733
2002-05-31,1.7656942432757077
2002-06-30,1.549961826298868
2002-07-31,1.2534528000947396
2002-08-31,0.9468699475981188
2002-09-30,0.9500699254426858
2002-10-31,0.9449849400322227
2002-11-30,0.7232876310733052
2002-12-31,0.6531778297286512
2003-01-31,0.5555086321964535
2003-02-28,0.5173006361519514
2003-03-31,0.4677935928931392
2003-04-30,0.5107251056167271
2003-05-31,0.31792465383386265
2003-06-30,0.1932573438390265
2003-07-31,0.37103996544266254
2003-08-31,0.5238357320194341
2003-09-30,0.3867958774949773
2003-10-31,0.40080422970619084
2003-11-30,0.5308371343610461
2003-12-31,0.5360685510157617
2004-01-31,0.4336279886837508
2004-02-29,0.4541803239518342
2004-03-31,0.35447545580937706
2004-04-30,0.7079552510888559
2004-05-31,1.0351132239953413
2004-06-30,1.270693970028317
2004-07-31,1.2597675539818103
2004-08-31,1.2568423134033135
2004-09-30,1.31841826428751
2004-10-31,1.4940762109666497
2004-11-30,1.8255577736411934
2004-12-31,2.05624950020539
2005-01-31,2.2800400880483283
2005-02-28,2.5647572445766604
2005-03-31,2.9651037082777094
2005-04-30,2.946343717703215
2005-05-31,2.95128411378538
2005-06-30,3.0547755292041168
2005-07-31,3.390583877002584
2005-08-31,3.6673455072347876
2005-09-30,3.595707970554702
2005-10-31,3.944317091398
2005-11-30,4.157710811974449
2005-12-31,4.1832387636250665
2006-01-31,4.322241318047315
2006-02-28,4.651140457080328
2006-03-31,4.810997673392113
2006-04-30,4.94362096040158
2006-05-31,4.9948446897935534
2006-06-30,5.16050550972341
2006-07-31,5.304766219755892
2006-08-31,5.158723453438044
2006-09-30,5.07810380339673
2006-10-31,5.113195476143349
2006-11-30,5.072087715622209
2006-12-31,5.061150466301399
2007-01-31,5.204079215266734
2007-02-28,5.1781059561649725
2007-03-31,5.017443744060686
2007-04-30,5.073363317923219
2007-05-31,5.118366151587086
2007-06-30,5.278964454753935
2007-07-31,5.142838238733842
2007-08-31,4.717233010510649
2007-09-30,4.330143902712529
2007-10-31,4.207665539937415
2007-11-30,3.800452165327785
2007-12-31,3.5208648420818216
2008-01-31,2.8162569430367754
2008-02-29,1.9868853106964999
2008-03-31,1.423226383441247
2008-04-30,1.5184034772999346
2008-05-31,1.7407689506252366
2008-06-30,2.0519483725125234
2008-07-31,1.9118992158927095
2008-08-31,1.7821586309249755
2008-09-30,1.554071121544424
2008-10-31,1.0873695240231107
2008-11-30,0.37826446583700835
2008-12-31,-0.05137946545379982
2009-01-31,0.012859213636571505
2009-02-28,0.08028540072155675
2009-03-31,-0.07808866241179961
2009-04-30,-0.16270618718639615
2009-05-31,-0.09623002197658695
2009-06-30,0.04594993043575914
2009-07-31,-0.16143535047205307
2009-08-31,-0.08232952877962361
2009-09-30,-0.21907523774276208
2009-10-31,-0.15635005716870534
2009-11-30,-0.36007298856237285
2009-12-31,-0.29923907203177585
2010-01-31,-0.335405885254843
2010-02-28,-0.5922594725179032
2010-03-31,-0.6424046295273403
2010-04-30,-0.47175019760504716
2010-05-31,-0.8072840627095808
2010-06-30,-0.9497042520785338
2010-07-31,-1.2664868978940202
2010-08-31,-1.6724255350169404
2010-09-30,-1.6801005209560769
2010-10-31,-2.0820068271179917
2010-11-30,-2.313083717649565
2010-12-31,-1.7682189712448886
2011-01-31,-1.5085429761628182
2011-02-28,-1.2196608938745788
2011-03-31,-1.3328763380402597
2011-04-30,-1.1218723405040774
2011-05-31,-1.4874404980907767
2011-06-30,-1.9682516025632966
2011-07-31,-2.136875867805054
2011-08-31,-3.1831425149904597
2011-09-30,-3.7390676532837244
2011-10-31,-3.2369582602795357
2011-11-30,-3.082931477864671
2011-12-31,-2.9666917451060972
2012-01-31,-2.930469486527278
2012-02-29,-3.0190450605375636
2012-03-31,-2.7567309119052266
2012-04-30,-2.7472143862812617
2012-05-31,-3.1380911735382107
2012-06-30,-3.2642643462618057
2012-07-31,-3.309924873019259
2012-08-31,-3.1736377339357444
2012-09-30,-3.3008249331504036
2012-10-31,-3.6011041014879943
2012-11-30,-3.7638688868413586
2012-12-31,-3.8630880769933067
2013-01-31,-3.719361418416748
2013-02-28,-3.565574430314856
2013-03-31,-3.7047923376318774
2013-04-30,-4.004411481978965
2013-05-31,-3.964883470027993
2013-06-30,-3.1355261281140816
2013-07-31,-2.358561617382119
2013-08-31,-2.3419633548901984
2013-09-30,-2.078775387346179
2013-10-31,-2.573389794533467
2013-11-30,-2.831003587321748
2013-12-31,-2.795716671995015
2014-01-31,-2.408922333150928
2014-02-28,-2.458345994670569
2014-03-31,-2.214477553976135
2014-04-30,-1.6700012546124798
2014-05-31,-1.4886672190844155
2014-06-30,-1.310091763034581
2014-07-31,-1.0690801825446936
2014-08-31,-0.8650804949581883
2014-09-30,-0.5666826736964673
2014-10-31,-0.6837093418464967
2014-11-30,-0.5771506363892152
2014-12-31,-0.3733741057213275
2015-01-31,-0.2810296011916153
2015-02-28,-0.06692072391466032
2015-03-31,-0.008887724130689985
2015-04-30,-0.1481935553923899
2015-05-31,-0.07227685151771304
2015-06-30,-0.05321554979484165
2015-07-31,-0.17983071181740595
2015-08-31,-0.13470250041449314
2015-09-30,-0.19451998985751598
2015-10-31,-0.42517731427062494
2015-11-30,-0.05036379919825466
2015-12-31,0.1537632002245728
2016-01-31,0.12122825616456617
2016-02-29,-0.19636003426571688
2016-03-31,0.11303603433417629
2016-04-30,0.1361251259322639
2016-05-31,0.20224119329401086
2016-06-30,0.16619794946513952
2016-07-31,0.05420411744234589
2016-08-31,0.2676611445877049
2016-09-30,0.3598785189865098
2016-10-31,0.39604442425285735
2016-11-30,0.5160554846774172
2016-12-31,0.6222832600577065
2017-01-31,0.6223948135262646
2017-02-28,0.6684160057402063
2017-03-31,0.8647524428746223
2017-04-30,0.8752536414009853
2017-05-31,0.9787088943151774
2017-06-30,1.031258227242108
2017-07-31,1.0956793127569824
2017-08-31,1.038581600966301
2017-09-30,1.0973058239957416
2017-10-31,1.2491674029935231
2017-11-30,1.3289295696903012
2017-12-31,1.4640854183785639
2018-01-31,1.616642818572337
2018-02-28,1.7180062597251813
2018-03-31,1.7984244097386333
2018-04-30,1.9197535511400368
2018-05-31,2.0520179183749714
2018-06-30,2.0730523700305676
2018-07-31,2.1691360196384313
2018-08-31,2.2331678086087634
2018-09-30,2.3563572962783517
2018-10-31,2.445588827010545
2018-11-30,2.448396876697434
2018-12-31,2.358298090740005
2019-01-31,2.3300767424466486
2019-02-28,2.320485573852982
2019-03-31,2.2647016331061227
2019-04-30,2.247106671160353
2019-05-31,2.148312778379817
2019-06-30,1.8361788613867498
2019-07-31,1.7545952140492465
2019-08-31,1.495905931811329
2019-09-30,1.5514470707246597
2019-10-31,1.4553245244164141
2019-11-30,1.4155909873960213
2019-12-31,1.4324315090528967
2020-01-31,1.396406575673104
2020-02-29,1.2940832433576137
2020-03-31,0.16593761575382163
2020-04-30,-0.5181756765870885
2020-05-31,-0.9935271398445097
2020-06-30,-1.3091300704130218
2020-07-31,-1.799715424347395
2020-08-31,-2.105083188134056
2020-09-30,-2.248988888777548
2020-10-31,-2.429848913779311
2020-11-30,-2.461102387355781
2020-12-31,-2.435829012539546
2021-01-31,-2.379015341947988
2021-02-28,-2.1801337431440038
2021-03-31,-1.6005845839629471
2021-04-30,-1.4416408092476525
2021-05-31,-1.4815667458912856
2021-06-30,-1.4485359667846005
2021-07-31,-1.162941824751571
2021-08-31,-0.9753043944345707
2021-09-30,-0.7039597200334293
2021-10-31,-0.2928379196522524
2021-11-30,0.002128801439046904
2021-12-31,0.1375961373624855
2022-01-31,0.377206379819969
2022-02-28,0.7336218802123822
2022-03-31,1.0408319527422354
2022-04-30,1.6725634012309973
2022-05-31,1.9321040214436087
2022-06-30,2.4519164802373106
2022-07-31,2.7534739386484057
2022-08-31,3.1277335690973165
2022-09-30,3.8422309038108478
2022-10-31,4.457404442480064
2022-11-30,4.646134736307796
2022-12-31,4.694322599043928
2023-01-31,4.741464169037608
2023-02-28,5.037923056316216
2023-03-31,4.984381457981271
2023-04-30,4.806049056203352
2023-05-31,4.897112264486718
2023-06-30,5.209250028532286
2023-07-31,5.414502652604084
2023-08-31,5.469939019493671
2023-09-30,5.490338039119406
2023-10-31,5.477857030167211
2023-11-30,5.221894221336635
2023-12-31,4.954419700797341
2024-01-31,4.942041483028733
2024-02-29,5.079721864309924
2024-03-31,5.1464123406421205
2024-04-30,5.310383525498398
2024-05-31,5.272358730489662
2024-06-30,5.182247979264329
2024-07-31,5.015584651656568
2024-08-31,4.552054948856392
2024-09-30,4.228189946564912
2024-10-31,4.281747261515638
2024-11-30,4.374451248785502
2024-12-31,4.310995612517348
2025-01-31,4.293121150150643
2025-02-28,4.221630295393764
2025-03-31,4.052735742882963
2025-04-30,3.879696994662268
2025-05-31,3.948136854743487
2025-06-30,3.93360381186509
2025-07-31,3.8682543337594395
2025-08-31,3.7156564674645165
2025-09-30,3.5065586980503096
2025-10-31,3.411593803889661
2025-11-30,3.41232755228118
2025-12-31,3.3252148660454446
