,level,slope,curvature,F1,F2,F3
1986-03-31,-1.0958023759408384,0.6412185302959736,3.0167878490368826e-05,-0.5414317652914764,0.22162581751021815,-0.07389245911168896
1986-04-30,-1.0163920535441324,0.3622252108321078,-9.665989259836655e-06,0.13426839423119663,1.772517669051641,-0.1586699868788939
1986-05-31,0.3251633964840632,-0.5161524887775997,-2.31593601100482e-05,0.38154333435650334,0.7026803307082874,0.4285601006095576
1986-06-30,0.2908863229259868,-0.1601464154513459,6.962322962266152e-05,0.11342472741516718,-0.9584212214826013,0.13573939885593278
1986-07-31,-0.18558196304754304,-0.12262420398839646,-1.7533489713898268e-05,-0.20699803970200614,0.3973031623227177,-0.34892595627607914
1986-08-31,0.09013087777634965,-0.4087957513772382,-8.67180894234681e-06,0.09228650967912233,0.7683405614807233,0.13351455200728823
1986-09-30,0.5320771495668062,-0.862952748381494,-1.983709802849905e-05,-0.10364856066697414,0.13673628486807654,0.402814723853925
1986-10-31,0.06202108699468667,0.024475073967299643,2.0465325054235137e-05,0.018546169017555236,0.23162226397492397,-0.08127011040481857
1986-11-30,-0.31095503892950127,0.4171625811168691,9.37366369337001e-06,-0.24300842025506952,-0.4425775641031628,-0.303945144483992
1986-12-31,0.0016770085827442216,0.22496855564340779,-0.0002814693387229655,0.19407018974491663,1.0668455120855018,-0.34879127185699765
1987-01-31,-0.18110356294476837,0.15385700555069626,0.0003139828671983419,0.480048851651538,-1.0004473166107046,0.2354520780782723
1987-02-28,0.07908196000398249,0.1709554519712846,-0.48567409141139195,0.33131108920104846,1.1269700320974105,-0.5918107614726644
1987-03-31,-0.15953504558069298,0.16011591669395386,0.48556651049473276,-0.07995047522188115,-0.8040194689696429,0.4413721003065165
1987-04-30,0.31063422101232696,-0.21576202372553333,4.859175785047863e-05,0.7765203235725351,0.26651224458973766,0.8347195267544385
1987-05-31,0.16044940929170082,-0.23755099176088113,6.612210676580368e-05,-0.22343969074367287,-0.01006545305410246,-0.25319326771836126
1987-06-30,-0.0694710311659712,0.25384694587739487,-7.08796296760564e-05,-0.3918537794791921,-0.04228432979663895,-0.3802233080302977
1987-07-31,0.26381640027399733,-0.28545187839727904,1.5774916043488326e-05,0.14772712596808368,0.2372277769835516,0.0297503043190237
1987-08-31,0.25361066793963616,-0.08645186785672099,-5.1695015497279796e-05,0.29148077483986734,-0.2744060353598484,0.09177410472160874
1987-09-30,0.5416701045497714,-0.05401043662045435,0.0001039187730859017,0.22395436853299167,0.04481859262320219,0.296570715671888
1987-10-31,-0.07598960215035966,0.15178509169357346,5.287584573586701e-05,0.28427572233297704,0.38509298625646066,0.6462343968536026
1987-11-30,-0.5667035366327369,-0.1531835998335742,-0.00010391803351306352,-1.2192484223905717,-0.6077726208333011,-1.007303998184864
1987-12-31,-0.1854346555099049,0.04096701979290529,-3.283032508794026e-06,-0.257509021644019,-1.1958097543506254,-0.050262432149819514
1988-01-31,-2.2157353917756666,2.716751629745488,7.539936299934323,0.7670791260864622,0.37369328554170167,0.4186557955996397
1988-02-29,-2.657240745136721,2.4183686835087403,3.823368496415738,-0.45488001716685034,1.642134985780404,-1.1932999682306233
1988-03-31,0.22696559196862953,-0.19658960884426313,0.28608146546282676,0.35899091663516236,-0.6006737078627278,0.7153698542380549
1988-04-30,0.7469110401941217,-0.5607856179919575,-0.4689202250879063,0.8249176061858066,0.5626434692376963,0.5823737395937343
1988-05-31,4.009581859008018,-4.097280900309407,-11.180480369178065,-0.7281465978790918,-1.4516469279108506,-0.4859229311549442
1988-06-30,-0.22521277427190256,0.26236013029606653,4.695255681938324e-06,0.7595200225792222,0.8323243932742783,0.059481690796798325
1988-07-31,0.11277000336005294,0.296253179557759,-7.79111772389324e-06,0.05427979309195097,-0.6922001760628357,-0.09685591580453412
1988-08-31,0.13017036302355045,0.5037336806937367,6.220304106853145e-06,0.023518188323866873,0.5194689482507989,-0.35243349883076913
1988-09-30,-0.2507154804554599,0.4304503755001783,3.0522294409430425e-05,0.8580195209609034,-0.18177907135200477,0.3210146808693084
1988-10-31,-0.18554896150206268,0.2420580885616408,-2.825233620034034e-05,-0.18771847436247224,0.1717822711540548,-0.3991840803202851
1988-11-30,0.059679173277995545,0.3939497800795656,0.00010716391372398297,-0.34389254205762354,-0.5445563621152156,-0.24525343035812686
1988-12-31,-0.09221302401913967,-0.07255414693110274,1.5044851898737237,0.473543051590791,0.4895250943204886,0.09414013167948698
1989-01-31,-0.39637220847783006,1.0664203909517949,0.45175116525276016,0.9658682452402019,0.4859758981194541,0.22278823374852252
1989-02-28,0.14363388056418458,0.08941424962199968,-0.14832655892529134,-0.7171566704890591,-2.2561640239207397,-0.7399093350568109
1989-03-31,0.20570670744996988,0.09937029432391972,0.39184001774008825,0.5220873242893411,0.5443511269547701,0.4279113772929557
1989-04-30,-0.06919287555138709,-0.12689675883827906,-0.27053350922181973,0.12516422103080238,1.2543147067809084,0.12423154495662203
1989-05-31,-0.08454141281833394,-0.15342380452952176,-0.8402514322475325,-0.4281581671506993,-1.328984659493118,-0.28188402439767035
1989-06-30,-0.5172393602031367,0.5909552533560184,-1.2802453330673893,-0.5341207147478446,-0.1299579557599282,-0.15956300385385846
1989-07-31,-0.05680018795409936,-0.2968023573770069,-1.3700830117473843,-0.5698111402682731,-0.8180092032975548,0.04566822721340369
1989-08-31,-0.012420111761638708,-0.1210889861617915,1.1508470022049333,-0.16849275543179099,0.8643615484702081,-0.5872505700181733
1989-09-30,0.017200998115130872,-0.4916046459738046,1.373237365865739,0.5056938614387376,0.12465365385777472,0.5639069609945911
1989-10-31,-0.17007211576762327,-0.5289018477482978,0.7731230753821585,0.5138247723791336,0.68647869132187,0.31463664172943484
1989-11-30,-0.030246743971857448,1.1409010510408444,-2.7411334546513597,-0.7543426380348435,-0.3333601375568477,-0.3134699900607856
1989-12-31,0.03350385745367923,-0.07880667433009839,-0.12024091321104602,-0.17672822814535083,0.02325116998401855,-0.048873914936756746
1990-01-31,0.3200265208315507,-0.3559984353075751,0.38585175906248237,1.093797771717079,2.466387560690154,0.13657179893544447
1990-02-28,0.25249450933473483,-0.27926687303689635,0.2802393478911278,-0.0547491317058455,-2.469440240311096,0.33436941056746194
1990-03-31,0.0226068397180601,-0.1436416431668831,1.0365798461747175,0.018394219962110547,0.040257256774689054,0.16772168699652057
1990-04-30,0.20021875648173726,-0.64321465949352,-0.5772530875180929,-1.247026353501942,-1.2682589815267424,-0.5028284797918539
1990-05-31,-0.15421306582940097,0.7787223958956838,1.054154432452134,0.28323455220338856,1.2915893356437602,-0.15928797874438372
1990-06-30,-0.8202412791594966,0.7028487529044474,0.9673205855699847,0.5473512699699876,0.21964685531168737,0.4874890465931174
1990-07-31,0.7426534162049592,-0.7543667050763336,-3.1996511725468637,-0.5738583641129926,0.004156268316131251,-0.14135137992105284
1990-08-31,0.4618877474723302,-0.6532153290785732,-0.612893859969152,0.8507306488159205,2.2552504821878347,1.202426838514707
1990-09-30,0.16005594740138918,-0.30568449064090397,0.21577639213154876,-0.9804947384603313,-1.2229788088946745,-0.24891983028282683
1990-10-31,-0.14741461997890326,-0.06756060444870426,0.11352760290483799,-0.42979347822204605,-0.6068577777695174,-0.057561925565667416
1990-11-30,-0.285714552723201,0.03135345474934392,0.07750098428412522,-1.3636004663180046,-1.549173889604571,-0.6952175454882321
1990-12-31,-0.30566387145979057,0.07687780994473403,0.06828057445485802,0.08633112732675374,-0.5963476534624701,0.299265195031847
1991-01-31,0.06917791407778573,-0.6168405672272534,-0.1158391186512826,0.786110491283021,1.5952545284040107,0.7418270298452843
1991-02-28,-0.19367395501586415,-0.2167010611061957,-0.15369362424930788,-1.4234568724142405,-0.3996536352103621,-1.071415548820632
1991-03-31,-0.2668878236539438,0.19409516854780984,5.433574560986413,-0.4361596578247514,-0.2847535232828926,0.028897618174516193
1991-04-30,-0.21713629508342258,-0.04957394681777316,0.5934881905694813,0.4557147684676074,1.8133567533082813,0.07228131281132666
1991-05-31,0.15224790385010056,-0.41274544293014115,0.13195150936375644,0.47798965992901143,0.9110169768789028,0.4386218789111449
1991-06-30,0.5585409718176679,-0.4267114479217584,-1.3761625164539755,-0.2277463834379767,-0.7342449488073437,-0.055391646600636335
1991-07-31,-0.016903960987914246,0.0028110150920444,0.11333072031021141,0.0518322697875675,0.026732474706108067,-0.03592705449348044
1991-08-31,0.034499952628564756,-0.24559296469529635,-5.812467388203557,-0.018452869151906803,-0.31091303699272976,0.011742520954828084
1991-09-30,-0.15323534511001569,-0.024209421575464685,0.07169166836514362,0.05386158487555881,0.8176901777814977,-0.04934312549166542
1991-10-31,0.0682817926231909,-0.2970330167814539,-0.09093323332351444,-0.9477281852376109,-0.5930372352947998,-0.302958162820236
1991-11-30,0.07717300562782015,-0.47173849026943815,-0.5721001265868737,-0.33224691821546437,-0.393704802372871,0.37894633504319075
1991-12-31,-0.11715678347941783,-0.40005924743059706,-0.43525878069640767,-0.5854436227747845,-0.24561850335408447,0.08414223215219652
1992-01-31,-0.08767590186535124,-0.29361440817156037,0.1323064098640767,-0.15085691979900068,0.5313896292576012,-0.14639296744765673
1992-02-29,0.29325222939522,-0.35670083424200616,0.33079065360754,0.2156241862970006,1.161793980410554,0.12835048105109026
1992-03-31,-0.02478875240933398,0.1928838123237835,0.9792819452204911,0.5471042902773614,-0.26722622453013667,0.12460076282574972
1992-04-30,0.10393437314997733,-0.42604663515109387,-0.7198791602496466,0.07288175264903107,-0.03093898397001449,0.20700615936401068
1992-05-31,-0.02808342360724403,-0.10200447287312286,-0.07183204269961552,-0.33302803660589403,0.35219532747172244,-0.18362647701030532
1992-06-30,0.04928497782959518,0.08217322928272264,0.057918485496193384,-0.4764682236538815,-0.5985998187480751,-0.155910204953027
1992-07-31,-0.21462381643718942,-0.14521466090590085,-1.2929725599775121,0.226651900835329,0.6259079932476658,0.2835418181111824
1992-08-31,-0.14479839760442204,0.0369340941932057,0.156275005460488,-0.8739136246601005,-1.1791431959065675,-0.5344349486951114
1992-09-30,-0.047499406960602286,-0.18042751055603024,-0.49360132319892447,0.020197597741762108,0.38776745480254515,0.21410157742809455
1992-10-31,0.3461557112172837,-0.28390170010916016,0.5390945520869934,0.9915948317213185,1.281223829079242,0.5557132713502888
1992-11-30,-0.09648205920857045,0.33063079582861477,0.854791596664251,-0.47577046364867126,-1.3721675968657763,-0.5468529045594326
1992-12-31,-0.292917476896152,0.3395687366397988,0.12248101751135465,0.004727410613569516,0.10778032842414692,-0.43992422744825044
1993-01-31,0.03772057332791867,-0.10788199453835823,-0.6960459455131782,0.7459117693078453,0.7655655323131197,0.22138769930677604
1993-02-28,-0.04706151432086436,-0.005668110347476052,0.24028761226813344,-0.14808610193200739,-0.19081172617773823,-0.24528355420933212
1993-03-31,-0.240266572340591,0.3342745493944248,-0.47227096841967864,-0.7516274069857044,-1.5559588521379577,-0.25691842692580735
1993-04-30,0.08348015312603962,-0.17538071730557636,-0.21161476054938566,0.961927434695766,2.002019016499791,0.42176989435875156
1993-05-31,0.11869276463414735,-0.14242222814371797,0.9616720642425776,-0.5995227940245067,-1.1854954662881159,0.04102430455880368
1993-06-30,-0.08356924034820423,0.21223584494006786,3.111939736071779,-0.2546461573010781,-0.3864619559138109,-0.6687400509313335
1993-07-31,-0.2690167515154771,0.24675758712799833,-0.0002585486061943012,0.1877276418031133,0.20556294829025964,-0.08914366502776416
1993-08-31,-0.5266840855290749,0.5339646929326198,-2.012579818569214,0.3937382243792603,0.26611760785474914,0.023323009930676264
1993-09-30,0.08107168566486056,-0.13704433126809068,2.0061078334639544,-0.31750802115840926,-0.03347093529400591,-0.42680789929555263
1993-10-31,-0.015671400003546943,0.06421479638697036,0.006632892922589603,0.8429567877044569,0.8239233289492833,0.2880431237936185
1993-11-30,0.09383043303974148,-0.03994222646054002,-0.00011201786621452899,-0.2600961679285376,-0.741467236301093,0.10995930751381588
1993-12-31,-0.08448856730278553,0.07997391428890843,1.738137190950411e-05,-0.23603152377381567,0.021755801222346993,-0.4562190593705726
1994-01-31,0.06251044785283089,-0.13666182526203396,-1.5335045756497252e-05,-0.26405251616625147,-1.1890980343824253,-0.0230476186762123
1994-02-28,0.03007656698069905,0.25804890001353264,0.0005948179371467676,0.4624175501394154,0.7893318749272842,0.1028872626636459
1994-03-31,0.17841758185075918,0.10214025126227977,-0.0006032453609620198,0.9960997661413796,1.8014979387746473,0.4537226408531043
1994-04-30,0.12692334342587674,-0.020893351323970855,-0.00010859977062788997,-0.6717611482432199,-1.449365765020359,-0.1578875597664975
1994-05-31,0.011924589682164921,0.4236292401433652,8.234867032845525e-05,0.784739766531325,0.08785771669871778,0.004282951519867462
1994-06-30,-0.0416154012899268,0.10473018534885048,9.463005552929184e-05,0.23395592602214244,-0.06757742959097945,0.16901662608460533
1994-07-31,0.17954706096111117,-0.05664239035044183,-8.389343785405727e-05,-0.3560138594350475,-0.3782460738314347,0.0011500875684409273
1994-08-31,-0.04168855399144622,0.19077842552929347,1.6142910417748618e-05,0.3200755767890082,0.40545661078191686,-0.39759007369601274
1994-09-30,0.27455110947632466,-0.0043538130396294505,3.760972240209334e-05,-0.04676986250680182,-0.5744491818903285,0.04400126582669017
1994-10-31,0.08934698853427925,0.18062502494579658,-4.044504816119626e-05,0.10521851883479894,0.11476137899485138,-0.008443158251184357
1994-11-30,0.03762649181703459,0.13021703739326007,5.5585393556762744e-05,0.5650932128663178,0.1460084766487276,0.11782851778051096
1994-12-31,-0.3897674522142225,-0.8029250744759606,-7.445085397987536e-05,-0.21785464396973553,-0.5519112174839971,-0.8476319521010822
1995-01-31,-0.02182292003741093,0.893422676841189,1.7602255500443365e-06,0.9953141006129897,-0.11309543283430157,0.8305732820773826
1995-02-28,-0.1565761907196288,1.0538969482489065,6.66485872533798e-05,-0.4379879137082501,-0.4299402620743866,-0.6304989396028892
1995-03-31,0.09383093085215055,0.15049729876853246,-3.693580201860582e-05,-0.02324428237653331,0.1327632164612208,0.23211497924839708
1995-04-30,-0.1347612387977799,0.07774072312505309,1.705910820555622e-05,-0.20779856864582902,0.33786574653007234,0.04634287210258736
1995-05-31,-0.20152333909095255,0.10802570409476964,-0.518358207502739,-0.4911323228018796,-0.4225710102380205,-0.5548059290426232
1995-06-30,-0.1588008406890573,0.056886731515112476,-1.5614058269948963,0.05611204827732741,-0.16725739306330945,-0.12821280428084642
1995-07-31,0.06629774145008227,-0.21020205560933714,0.7892876193240423,-0.2888701844126953,-0.3365897162636856,-0.06592083262816859
1995-08-31,0.031758058566374814,-0.035790225445377466,1.1218462650887855,0.6811379968302054,1.4214637825826575,0.3912742036430511
1995-09-30,-0.23069746778166778,0.1914665281384209,-0.6442266740554212,-0.3339101882689104,-0.6914651113441246,-0.2983828981639709
1995-10-31,-0.19700444336684075,0.21855173953752494,-0.29554978125265463,0.20922963656757254,-0.5444777472787401,-0.00029496074920276616
1995-11-30,-0.0001050137779312621,-0.011600022301949675,-0.9091718074204911,-0.4688855620981045,0.36877892208012586,-0.2822391223185268
1995-12-31,-0.11953858064433565,-0.08271646922151255,0.23566879050116474,-0.21758491303189453,-0.025348512505968923,-0.059827757772153364
1996-01-31,-0.15992882329309488,0.14259291484260594,-0.9142466351745038,0.16161454405304965,-0.2886897600432099,0.07141460637041429
1996-02-29,0.26718391798073693,-0.5038978776209975,-0.15374326516187597,0.14036697393260855,1.5046997362989154,-0.01121899367497381
1996-03-31,0.16137238302568768,-0.16672203023820265,2.8497369289721752,-0.02474360969148348,-1.1476917552531307,0.708267384121981
1996-04-30,0.007902052707749796,-0.05265047471013773,0.0002833415370708403,0.08830991654739972,1.52236500580834,-0.31725178761209044
1996-05-31,0.08247927934605848,-0.07144109319082448,-0.00014181174362498872,0.05467239859051087,-1.0704736449415944,0.17517799371108117
1996-06-30,0.04770190988831402,-0.03338983124298611,0.00013006698036138194,-0.04581264588851908,-0.3524126962129415,-0.0723178497232222
